Date,Time of Transaction,Transaction Status,Transaction Type
2024-06-01,10:00:00,Pendiente,Pago de Factura
2024-07-09,12:00:00,Pendiente,Pago de Factura
2024-06-13,10:00:00,Fallida,Pago de Factura
2024-07-26,13:00:00,Fallida,Pago de Factura
2024-07-28,6:00:00,Completada,Pago de Factura
2024-07-16,21:00:00,Completada,Pago de Factura
2024-07-26,22:00:00,Pendiente,Pago de Factura
2024-06-17,16:00:00,Pendiente,Pago de Factura
2024-07-10,23:00:00,Fallida,Pago de Factura
2024-06-19,23:00:00,Completada,Pago de Factura
2024-06-01,6:00:00,Completada,Pago de Factura
2024-07-12,19:00:00,Pendiente,Pago de Factura
2024-07-04,12:00:00,Fallida,Pago de Factura
2024-07-12,4:00:00,Pendiente,Pago de Factura
2024-06-21,12:00:00,Pendiente,Pago de Factura
2024-07-08,12:00:00,Pendiente,Pago de Factura
2024-06-27,3:00:00,Fallida,Pago de Factura
2024-07-09,5:00:00,Completada,Pago de Factura
2024-06-16,20:00:00,Completada,Pago de Factura
2024-06-08,22:00:00,Fallida,Pago de Factura
2024-06-16,6:00:00,Completada,Pago de Factura
2024-07-30,3:00:00,Fallida,Pago de Factura
2024-07-27,1:00:00,Pendiente,Pago de Factura
2024-06-26,1:00:00,Pendiente,Pago de Factura
2024-07-07,10:00:00,Completada,Pago de Factura
2024-06-08,19:00:00,Completada,Pago de Factura
2024-06-28,6:00:00,Fallida,Pago de Factura
2024-07-03,1:00:00,Pendiente,Pago de Factura
2024-07-29,2:00:00,Fallida,Pago de Factura
2024-07-26,20:00:00,Fallida,Pago de Factura
2024-07-03,10:00:00,Completada,Pago de Factura
2024-06-15,17:00:00,Pendiente,Pago de Factura
2024-06-24,8:00:00,Fallida,Pago de Factura
2024-06-22,17:00:00,Pendiente,Pago de Factura
2024-06-23,12:00:00,Completada,Pago de Factura
2024-06-28,11:00:00,Fallida,Pago de Factura
2024-07-23,18:00:00,Completada,Pago de Factura
2024-07-28,0:00:00,Completada,Pago de Factura
2024-06-05,12:00:00,Pendiente,Pago de Factura
2024-06-28,4:00:00,Pendiente,Pago de Factura
2024-06-07,20:00:00,Fallida,Pago de Factura
2024-07-15,19:00:00,Fallida,Pago de Factura
2024-07-26,2:00:00,Pendiente,Pago de Factura
2024-07-12,1:00:00,Fallida,Pago de Factura
2024-07-21,21:00:00,Pendiente,Pago de Factura
2024-07-26,11:00:00,Fallida,Pago de Factura
2024-06-05,17:00:00,Pendiente,Pago de Factura
2024-06-10,10:00:00,Completada,Pago de Factura
2024-06-03,20:00:00,Completada,Pago de Factura
2024-07-29,3:00:00,Completada,Pago de Factura
2024-07-24,19:00:00,Pendiente,Pago de Factura
2024-07-26,11:00:00,Completada,Pago de Factura
2024-07-13,23:00:00,Completada,Pago de Factura
2024-06-28,0:00:00,Fallida,Pago de Factura
2024-06-17,3:00:00,Fallida,Pago de Factura
2024-07-06,7:00:00,Fallida,Pago de Factura
2024-07-25,20:00:00,Fallida,Pago de Factura
2024-06-09,20:00:00,Pendiente,Pago de Factura
2024-07-11,23:00:00,Completada,Pago de Factura
2024-07-20,16:00:00,Pendiente,Pago de Factura
2024-07-08,23:00:00,Completada,Pago de Factura
2024-07-17,5:00:00,Completada,Pago de Factura
2024-06-10,1:00:00,Fallida,Pago de Factura
2024-06-20,12:00:00,Completada,Pago de Factura
2024-06-14,3:00:00,Pendiente,Pago de Factura
2024-07-29,14:00:00,Fallida,Pago de Factura
2024-07-23,9:00:00,Fallida,Pago de Factura
2024-06-20,22:00:00,Fallida,Pago de Factura
2024-06-20,18:00:00,Completada,Pago de Factura
2024-07-15,21:00:00,Completada,Pago de Factura
2024-06-06,18:00:00,Completada,Pago de Factura
2024-07-18,20:00:00,Fallida,Pago de Factura
2024-06-21,6:00:00,Fallida,Pago de Factura
2024-06-29,18:00:00,Completada,Pago de Factura
2024-07-03,20:00:00,Completada,Pago de Factura
2024-06-15,11:00:00,Completada,Pago de Factura
2024-06-04,7:00:00,Fallida,Pago de Factura
2024-06-21,21:00:00,Fallida,Pago de Factura
2024-07-23,11:00:00,Completada,Pago de Factura
2024-06-29,15:00:00,Fallida,Pago de Factura
2024-06-18,0:00:00,Pendiente,Pago de Factura
2024-06-06,15:00:00,Pendiente,Pago de Factura
2024-06-22,3:00:00,Pendiente,Pago de Factura
2024-07-04,2:00:00,Pendiente,Pago de Factura
2024-06-19,11:00:00,Completada,Pago de Factura
2024-07-13,5:00:00,Completada,Pago de Factura
2024-07-04,9:00:00,Pendiente,Pago de Factura
2024-06-14,11:00:00,Completada,Pago de Factura
2024-06-27,5:00:00,Pendiente,Pago de Factura
2024-06-08,10:00:00,Pendiente,Pago de Factura
2024-07-05,21:00:00,Pendiente,Pago de Factura
2024-06-03,5:00:00,Pendiente,Pago de Factura
2024-06-21,17:00:00,Pendiente,Pago de Factura
2024-07-26,0:00:00,Completada,Pago de Factura
2024-07-23,20:00:00,Fallida,Pago de Factura
2024-07-08,19:00:00,Pendiente,Pago de Factura
2024-07-09,5:00:00,Completada,Pago de Factura
2024-07-06,0:00:00,Fallida,Pago de Factura
2024-07-27,10:00:00,Fallida,Pago de Factura
2024-07-11,7:00:00,Fallida,Pago de Factura